CIK,DATE
0000001750,11/1/1997
0000001750,2/10/1998
0000001750,5/27/1998
0000001750,4/11/2001
0000001750,10/3/2001
0000001750,5/29/2003
0000002135,9/27/1999
0000002135,5/12/2000
0000002135,9/12/2002
0000002135,3/20/2006
0000002488,3/11/1997
0000002488,7/13/1999
0000002488,7/7/2003
0000002491,6/22/2001
0000002809,11/30/1999
0000002969,9/16/1999
0000002969,12/19/2003
0000003000,6/29/2001
0000003333,3/30/1999
0000003333,3/22/2000
0000003333,3/13/2002
0000003333,2/13/2004
0000003333,6/17/2004
0000003370,5/24/2002
0000003370,7/28/2004
0000003370,6/28/2006
0000003982,1/18/2006
0000004164,5/5/1997
0000004447,1/25/2001
0000004447,12/10/2004
0000004447,5/12/2006
0000005133,8/7/1998
0000005187,3/5/2001
0000005187,3/4/2002
0000005187,8/8/2002
0000005187,3/3/2003
0000005187,2/11/2004
0000005187,8/3/2005
0000005907,12/28/2000
0000005907,12/14/2001
0000005907,10/9/2002
0000005907,10/7/2003
0000005907,10/6/2004
0000006071,3/2/2001
0000006071,8/20/2001
0000006164,11/11/1998
0000006720,7/1/2004
0000006720,2/21/2006
0000006769,6/12/1997
0000006769,6/12/1997
0000006769,6/12/1997
0000006769,6/3/2002
0000006769,5/28/2004
0000006769,5/12/2005
0000006814,11/26/1997
0000006814,12/14/2000
0000006885,6/17/1997
0000006951,4/4/1997
0000006951,3/13/1998
0000006951,9/19/2003
0000006955,7/31/2000
0000007032,3/31/2004
0000007032,6/21/2004
0000007032,11/18/2005
0000007536,3/24/2000
0000007536,12/18/2003
0000007536,6/13/2005
0000008670,6/29/2005
0000008858,10/25/2001
0000008858,6/7/2004
0000008858,10/13/2005
0000008868,5/1/2001
0000008868,1/13/2006
0000009389,12/19/2002
0000009389,5/9/2005
0000009779,4/20/1999
0000010456,9/28/2004
0000010456,12/20/2006
0000010795,8/13/2004
0000010795,12/1/2006
0000011199,8/2/1999
0000011199,1/11/2002
0000011454,4/20/2000
0000011860,10/15/2001
0000012208,9/30/1999
0000012208,9/5/2003
0000012355,4/2/2001
0000012355,4/4/2002
0000012355,10/29/2004
0000012927,9/29/1999
0000012927,11/23/2001
0000012927,11/22/2002
0000012927,11/18/2005
0000012927,11/17/2006
0000012978,5/2/2003
0000013610,5/11/2005
0000014195,4/18/1997
0000014195,9/28/2001
0000014195,5/28/2004
0000014195,2/11/2005
0000014272,9/11/2001
0000014272,8/18/2003
0000014272,12/21/2006
0000014693,10/19/2001
0000014693,10/11/2002
0000014693,2/25/2003
0000014707,12/20/2001
0000014707,7/21/2004
0000014707,2/14/2006
0000014920,6/2/1997
0000014920,2/2/1998
0000014930,5/22/1997
0000014930,11/15/2002
0000014930,4/29/2005
0000015615,1/22/2002
0000015615,7/22/2004
0000016040,1/3/1997
0000016040,11/10/2000
0000016040,8/3/2005
0000016357,6/30/1997
0000016868,3/16/1998
0000016873,7/22/2005
0000016918,5/12/1999
0000016918,10/6/1999
0000016918,3/19/2003
0000016918,8/17/2004
0000016918,12/22/2004
0000016918,6/5/2006
0000017843,2/21/1997
0000017843,11/20/2001
0000017843,9/3/2002
0000017843,8/31/2005
0000018169,7/11/2000
0000018169,3/28/2003
0000018230,9/23/2004
0000018230,9/22/2005
0000018230,9/21/2006
0000018498,9/24/1997
0000018498,7/16/2001
0000018827,7/8/1997
0000018926,8/28/1997
0000018926,10/25/2000
0000018926,7/30/2001
0000018926,7/22/2002
0000018926,3/7/2005
0000018926,12/14/2006
0000019353,2/28/1997
0000019353,8/16/2001
0000019411,2/12/1998
0000019411,11/4/2004
0000019520,6/26/1997
0000019520,3/24/1998
0000019520,12/21/1998
0000019520,3/28/2002
0000019520,2/26/2004
0000019520,11/29/2005
0000019520,12/22/2006
0000019584,2/24/2005
0000019584,3/31/2006
0000019731,3/15/1999
0000019731,12/3/1999
0000019731,2/18/2000
0000019731,2/23/2000
0000019731,6/15/2000
0000019731,2/23/2004
0000020520,10/27/2000
0000020520,10/24/2001
0000020520,10/29/2004
0000021076,12/7/2004
0000022444,8/15/2001
0000022444,8/8/2003
0000022444,5/23/2005
0000023194,9/24/1998
0000023194,12/23/1998
0000023194,4/29/1999
0000023194,9/10/1999
0000023194,12/3/1999
0000023194,5/5/2000
0000023194,11/7/2000
0000023194,12/17/2001
0000023194,2/13/2004
0000023194,12/15/2006
0000023217,12/16/2005
0000023304,1/28/2000
0000023304,6/28/2001
0000023304,2/27/2002
0000023304,12/2/2002
0000023341,12/10/2001
0000023666,8/8/2001
0000023675,9/30/1999
0000023675,7/3/2001
0000023675,3/11/2005
0000023675,9/29/2006
0000024491,10/15/1999
0000024491,10/22/1999
0000024491,9/1/2000
0000024491,8/30/2001
0000024491,8/29/2002
0000024491,6/30/2004
0000024545,10/23/1997
0000024545,2/1/2002
0000024545,2/17/2005
0000024545,3/2/2005
0000025305,6/27/2003
0000025305,6/4/2004
0000025305,12/3/2004
0000025445,11/18/1998
0000025445,7/22/2003
0000025445,1/21/2005
0000026172,1/8/1998
0000026172,11/5/2002
0000026172,12/1/2004
0000027904,5/2/1997
0000027904,3/22/1999
0000027904,4/6/2001
0000027996,7/8/1997
0000027996,8/24/2001
0000027996,8/19/2002
0000027996,8/14/2003
0000027996,7/22/2004
0000027996,7/20/2005
0000028582,12/15/1998
0000028630,9/28/2001
0000028630,11/4/2003
0000028866,7/27/1998
0000028866,11/1/1999
0000028917,12/12/2003
0000028917,6/3/2005
0000028917,6/9/2006
0000029332,3/31/1998
0000029534,6/24/2002
0000029534,6/30/2004
0000029534,6/28/2006
0000029669,10/11/2001
0000029669,10/10/2002
0000029669,10/9/2003
0000029669,2/27/2004
0000029806,11/20/2002
0000029806,12/23/2003
0000029924,6/25/2001
0000029924,6/23/2003
0000029924,1/20/2005
0000029924,3/27/2006
0000029989,2/20/1998
0000029989,4/25/2002
0000029989,11/14/2002
0000029989,11/14/2002
0000029989,11/13/2003
0000029989,5/24/2004
0000029989,5/23/2005
0000029989,6/30/2005
0000029989,6/23/2006
0000030625,8/8/2000
0000030697,5/22/1997
0000031235,7/11/2003
0000031235,7/9/2004
0000031462,12/13/2000
0000031462,12/7/2001
0000031462,10/31/2002
0000031462,10/30/2003
0000031791,11/23/1998
0000031791,3/5/1999
0000031791,3/1/2002
0000031791,12/26/2002
0000031791,10/31/2005
0000032258,2/23/2000
0000032258,5/23/2002
0000033185,11/21/1997
0000033185,10/4/2001
0000033185,8/20/2004
0000033185,7/24/2006
0000033619,6/11/2003
0000033619,2/10/2006
0000034151,3/4/1998
0000034151,5/5/1999
0000034151,4/24/2001
0000034151,4/16/2004
0000034339,6/17/1999
0000034339,6/3/2003
0000037748,11/30/2000
0000037748,11/27/2002
0000037748,7/2/2003
0000037748,1/20/2004
0000037785,1/31/2002
0000037785,10/21/2002
0000037785,10/29/2004
0000037785,6/21/2005
0000037912,12/15/1997
0000037912,12/14/1998
0000039135,12/17/2001
0000039135,3/15/2006
0000039899,7/28/2000
0000039899,3/11/2002
0000039899,3/17/2003
0000039899,1/5/2005
0000039911,7/1/1997
0000039911,6/27/2000
0000039911,6/26/2001
0000039911,3/7/2002
0000039911,6/25/2003
0000039911,8/30/2004
0000040461,11/12/1999
0000040461,1/11/2002
0000040461,6/9/2003
0000040493,7/18/1997
0000040704,10/30/2001
0000040704,1/23/2002
0000040704,9/27/2002
0000040704,1/21/2003
0000040704,1/20/2004
0000040704,10/21/2005
0000040888,9/30/1999
0000040888,12/28/2000
0000040888,12/6/2004
0000040888,6/27/2006
0000041077,7/2/2004
0000041499,10/20/1997
0000041499,10/19/1998
0000041499,10/16/2001
0000041499,10/14/2003
0000041719,12/22/1997
0000041719,6/24/2002
0000041719,4/3/2006
0000042246,3/27/1997
0000042542,12/27/2001
0000042542,7/30/2002
0000042542,8/20/2003
0000042542,5/25/2005
0000042582,8/15/2000
0000042582,8/14/2001
0000042582,2/19/2004
0000042582,4/8/2005
0000043196,10/1/1999
0000043196,9/25/2001
0000043196,10/25/2002
0000043196,6/28/2005
0000043196,11/22/2005
0000043300,6/10/1997
0000043300,2/23/2001
0000043300,3/21/2002
0000043300,12/4/2003
0000043920,3/2/2001
0000043920,8/23/2002
0000043920,3/2/2005
0000045012,12/28/2002
0000045012,11/3/2003
0000045012,7/14/2004
0000045012,3/10/2005
0000045876,9/29/2000
0000045876,9/27/2002
0000045876,8/12/2004
0000045876,11/23/2005
0000045876,12/23/2005
0000046012,5/8/1997
0000046012,11/24/1998
0000046012,9/30/1999
0000046080,2/16/2001
0000046080,3/19/2002
0000046080,11/14/2003
0000046080,3/11/2005
0000046080,6/23/2006
0000046619,7/30/1998
0000046989,10/15/1998
0000046989,4/19/1999
0000046989,12/20/2002
0000046989,4/8/2004
0000047111,11/27/2001
0000047111,11/26/2002
0000047111,11/25/2003
0000047111,7/28/2004
0000047111,11/12/2004
0000047111,9/23/2005
0000047111,3/13/2006
0000047111,12/8/2006
0000048305,4/15/1997
0000048465,10/25/2001
0000048465,10/20/2003
0000048465,6/1/2005
0000048638,12/18/2000
0000048898,10/20/2004
0000049826,9/30/1998
0000050957,6/7/2000
0000050957,12/18/2003
0000051143,5/27/2004
0000051143,6/28/2006
0000051253,5/30/2000
0000051253,11/28/2000
0000051253,9/26/2001
0000051253,7/19/2002
0000051396,1/24/1997
0000051396,7/23/1997
0000051396,9/12/1997
0000051434,6/14/2000
0000051434,8/24/2001
0000051434,3/8/2002
0000051434,3/6/2003
0000051434,3/30/2004
0000051434,3/31/2006
0000051548,7/21/1999
0000051548,9/12/2003
0000051548,6/16/2006
0000051644,6/27/2000
0000051644,5/16/2002
0000051644,5/15/2003
0000051644,5/10/2004
0000052477,12/20/2000
0000052532,3/2/1999
0000052795,10/6/2000
0000052795,6/18/2004
0000053117,8/13/1997
0000054381,11/13/2000
0000054480,1/11/2000
0000054480,1/11/2000
0000054480,3/30/2004
0000055067,1/19/2001
0000055067,11/24/2004
0000055067,11/10/2006
0000055242,12/20/2000
0000055242,6/27/2002
0000055242,10/29/2004
0000055242,3/21/2006
0000056047,9/19/1997
0000056047,11/5/2001
0000056047,12/9/2003
0000056047,6/14/2006
0000056873,5/28/1997
0000056873,5/23/2001
0000056873,5/22/2002
0000056873,5/21/2003
0000056873,5/20/2004
0000056978,12/21/2000
0000058492,8/5/2005
0000058492,7/31/2006
0000059479,10/24/1997
0000059527,7/20/2000
0000059880,3/27/1998
0000059880,3/24/1999
0000059880,7/23/1999
0000059880,3/22/2000
0000060302,1/25/2002
0000060302,12/15/2003
0000060519,11/15/2001
0000060519,11/30/2001
0000060519,2/25/2003
0000060519,9/3/2003
0000060519,9/1/2004
0000060751,5/28/2004
0000060751,8/24/2004
0000060751,9/14/2005
0000060751,9/20/2006
0000061138,4/28/2003
0000061138,3/29/2006
0000061138,12/15/2006
0000061986,5/9/2001
0000062142,3/25/1997
0000062737,6/23/2000
0000062737,2/21/2002
0000062737,11/9/2005
0000062996,11/8/2002
0000062996,11/7/2003
0000062996,11/5/2004
0000063276,3/31/2000
0000063276,3/29/2001
0000063276,3/20/2002
0000063276,3/19/2004
0000063276,3/23/2005
0000063276,12/9/2005
0000063416,7/31/2001
0000063541,5/3/2001
0000063541,5/2/2002
0000063541,5/1/2003
0000063541,3/5/2004
0000063541,11/8/2005
0000063754,6/19/2001
0000063754,5/30/2003
0000064079,4/30/1997
0000064803,5/23/1997
0000064803,5/21/2001
0000064803,5/17/2002
0000064803,5/19/2003
0000064803,6/11/2004
0000064803,6/3/2005
0000064803,5/12/2006
0000064803,5/12/2006
0000065873,6/28/2001
0000065873,7/31/2002
0000065873,7/30/2003
0000065873,7/28/2004
0000065873,8/1/2005
0000065873,12/8/2005
0000066479,1/22/1997
0000066479,10/5/2001
0000066479,12/15/2005
0000066895,11/25/1997
0000066895,11/15/2002
0000066895,5/16/2003
0000067494,6/9/1998
0000067494,5/1/2000
0000067686,11/18/1998
0000067887,11/30/1998
0000067887,10/25/2006
0000068366,2/5/1999
0000069671,12/19/2000
0000069671,11/12/2004
0000070318,2/28/2002
0000070318,11/16/2006
0000070538,7/15/1999
0000070538,10/31/2001
0000070578,11/19/1999
0000070578,2/28/2001
0000070578,9/28/2001
0000070793,7/24/2003
0000070793,8/1/2005
0000070793,11/3/2006
0000071691,6/21/2006
0000071745,1/15/1998
0000071829,1/31/2002
0000071829,2/25/2004
0000072207,12/24/1997
0000072207,11/30/2001
0000072207,11/27/2002
0000072207,10/30/2003
0000072207,10/28/2004
0000072207,4/4/2005
0000072207,12/9/2005
0000072207,11/30/2006
0000072333,10/15/1999
0000072333,2/29/2000
0000072333,11/20/2001
0000072333,5/14/2004
0000072333,11/4/2005
0000073093,9/30/1999
0000073309,10/4/2002
0000073309,10/1/2004
0000073309,6/17/2005
0000073887,8/3/2006
0000074091,1/14/1997
0000074091,2/8/2000
0000074303,2/22/1999
0000074303,1/3/2002
0000074303,7/30/2004
0000075208,8/19/1997
0000075208,4/18/2000
0000075208,12/12/2001
0000075208,2/9/2006
0000075252,9/15/1997
0000075252,4/24/2000
0000075252,4/30/2002
0000075252,5/4/2004
0000075252,3/30/2006
0000075288,7/28/2004
0000075677,6/29/2000
0000075677,7/21/2003
0000075829,8/24/2004
0000075829,7/29/2005
0000075829,6/21/2006
0000076282,1/14/1998
0000076282,11/2/1998
0000076282,12/21/2000
0000076321,10/22/1999
0000076321,10/10/2003
0000076321,12/20/2004
0000076744,7/21/1997
0000076744,12/2/1997
0000077320,11/17/1998
0000077360,8/30/2001
0000077360,8/29/2002
0000077360,3/4/2005
0000077449,8/1/2003
0000077476,5/22/2006
0000078066,6/25/1997
0000078066,4/20/2004
